State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
Uttarakhand,2,Garhwal,10,RESHMA PANWAR,Socialist Unity Centre Of India (COMMUNIST),1168,125,1293,0.18
Uttarakhand,2,Garhwal,11,DR MUKESH PANT,Sainik Samaj Party,1121,58,1179,0.16
Uttarakhand,2,Garhwal,12,VINOD KUMAR SHARMA,Uttarakhand Samanta Party,838,46,884,0.12
Uttarakhand,2,Garhwal,13,SHYAMLAL,Bahujan Mukti Party,743,28,771,0.1
Uttarakhand,2,Garhwal,14,NOTA,None of the Above,11224,151,11375,1.54
Uttarakhand,3,Almora,1,AJAY TAMTA,Bharatiya Janata Party,417535,11632,429167,64.2
Uttarakhand,3,Almora,2,PRADEEP TAMTA,Indian National Congress,191642,3428,195070,29.18
Uttarakhand,3,Almora,3,NARAYAN RAM,Bahujan Samaj Party,9840,235,10075,1.51
Uttarakhand,3,Almora,4,KIRAN ARYA,Uttarakhand Parivartan Party,5528,250,5778,0.86
Uttarakhand,3,Almora,5,ARJUN PRASAD,Independent,4591,116,4707,0.7
Uttarakhand,3,Almora,6,DR PRAMOD KUMAR,Peoples Party of India (Democratic),4401,56,4457,0.67
Uttarakhand,3,Almora,7,ER JYOTI PRAKASH TAMTA,Bahujan Mukti Party,2178,46,2224,0.33
Uttarakhand,3,Almora,8,NOTA,None of the Above,16697,322,17019,2.55
Uttarakhand,4,Nainital-Udhamsingh Nagar,1,AJAY BHATT,Bharatiya Janata Party,766397,6274,772671,61.03
Uttarakhand,4,Nainital-Udhamsingh Nagar,2,PRAKASH JOSHI,Indian National Congress,434916,3207,438123,34.61
Uttarakhand,4,Nainital-Udhamsingh Nagar,3,AKHTAR ALI,Bahujan Samaj Party,23276,179,23455,1.85
Uttarakhand,4,Nainital-Udhamsingh Nagar,4,AKHALESH KUMAR,Akhil Bhartiya Parivar Party,4871,31,4902,0.39
Uttarakhand,4,Nainital-Udhamsingh Nagar,5,HITESH PATHAK,Independent,4287,28,4315,0.34
Uttarakhand,4,Nainital-Udhamsingh Nagar,6,RAMESH KUMAR MAX,Independent,3271,29,3300,0.26
Uttarakhand,4,Nainital-Udhamsingh Nagar,7,AMAR SINGH SAINI,Peoples Party of India (Democratic),2963,24,2987,0.24
Uttarakhand,4,Nainital-Udhamsingh Nagar,8,JEEVAN CHANDRA UPRETI,Bharat Ki Lok Jimmedar Party,2292,18,2310,0.18
Uttarakhand,4,Nainital-Udhamsingh Nagar,9,SHIB SINGH,Uttarakhand Kranti Dal,1809,46,1855,0.15
Uttarakhand,4,Nainital-Udhamsingh Nagar,10,SURENDRA SINGH,Bhartiya Shakti Chetna Party,1655,18,1673,0.13
Uttarakhand,4,Nainital-Udhamsingh Nagar,11,NOTA,None of the Above,10227,198,10425,0.82
Uttarakhand,5,Haridwar,1,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,648498,5310,653808,50.19
Uttarakhand,5,Haridwar,2,VIRENDRA RAWAT,Indian National Congress,487406,2346,489752,37.6
Uttarakhand,5,Haridwar,3,UMESH KUMAR PATRAKAR,Independent,89958,1230,91188,7
Uttarakhand,5,Haridwar,4,JAMIL AHMAD,Bahujan Samaj Party,42116,207,42323,3.25
Uttarakhand,5,Haridwar,5,BALBIR SINGH BHANDARI,Uttarakhand Samanta Party,2943,18,2961,0.23
Uttarakhand,5,Haridwar,6,MOHAN SINGH ASWAL,Uttarakhand Kranti Dal,2809,45,2854,0.22
Uttarakhand,5,Haridwar,7,VIJAY KUMAR,Independent,2409,1,2410,0.19
Uttarakhand,5,Haridwar,8,PAWAN KASHYAP,Independent,2170,8,2178,0.17
Uttarakhand,5,Haridwar,9,KARAN SINGH SAINI ENGINEER,Independent,1963,11,1974,0.15
Uttarakhand,5,Haridwar,10,AKRAM HUSSAIN,Independent,1678,7,1685,0.13
Uttarakhand,5,Haridwar,11,LALIT KUMAR,Peoples Party of India (Democratic),1396,14,1410,0.11
Uttarakhand,5,Haridwar,12,SURESH PAL,Bhartiya Rashtriya Ekta Dal,1150,12,1162,0.09
Uttarakhand,5,Haridwar,13,ASHISH DHYANI,Independent,1107,10,1117,0.09
Uttarakhand,5,Haridwar,14,AVNISH KUMAR,Independent,967,8,975,0.07
Uttarakhand,5,Haridwar,15,NOTA,None of the Above,6663,163,6826,0.52
Telangana,1,Adilabad,1,GODAM NAGESH,Bharatiya Janata Party,558936,9232,568168,45.98
Telangana,1,Adilabad,2,ATHRAM SUGUNA,Indian National Congress,472333,5183,477516,38.65
Telangana,1,Adilabad,3,ATHRAM SAKKU,Bharat Rashtra Samithi,136463,837,137300,11.11
Telangana,1,Adilabad,4,MALOTHU SYAMLAL NAYAK,Alliance of Democratic Reforms Party,7489,10,7499,0.61
Telangana,1,Adilabad,5,MESRAM JANGUBAPU,Bahujan Samaj Party,6689,55,6744,0.55
Telangana,1,Adilabad,6,RATHOD SUBASH,Independent,6434,94,6528,0.53
Telangana,1,Adilabad,7,BUKYA JAIVANTH RAO,Independent,6427,19,6446,0.52
Telangana,1,Adilabad,8,CHAVAN SUDHARSHAN,Anna YSR Congress Party,4618,26,4644,0.38
Telangana,1,Adilabad,9,GANGADEVI MESRAM,Dharma Samaj Party,3445,23,3468,0.28
Telangana,1,Adilabad,10,N. TIRUPATI,Vidhyarthula Rajakiya Party,2284,8,2292,0.19
Telangana,1,Adilabad,11,KODAPA VAMAN RAO,Gondwana Dandkaranya Party,1677,8,1685,0.14
Telangana,1,Adilabad,12,GEDAM. SAGAR,India Praja Bandhu Party,1537,8,1545,0.13
Telangana,1,Adilabad,13,NOTA,None of the Above,11650,112,11762,0.95
Telangana,2,Peddapalle,1,VAMSI KRISHNA GADDAM,Indian National Congress,470180,5407,475587,43.42
Telangana,2,Peddapalle,2,SRINIVAS GOMASE,Bharatiya Janata Party,339107,5116,344223,31.43
Telangana,2,Peddapalle,3,ESHWAR KOPPULA,Bharat Rashtra Samithi,191891,1465,193356,17.65
Telangana,2,Peddapalle,4,ERUKULLA RAJA NARSAIAH,Bahujan Samaj Party,6730,69,6799,0.62
Telangana,2,Peddapalle,5,VENUGOPAL MOYYI,Bahujan Mukti Party,5220,3,5223,0.48
Telangana,2,Peddapalle,6,MOTHE NARESH,Peoples Party of India (Democratic),4998,9,5007,0.46
Telangana,2,Peddapalle,7,RAMESH MANDA,Dharma Samaj Party,4314,20,4334,0.4
Telangana,2,Peddapalle,8,AMBOJU SUMALATHA,Alliance of Democratic Reforms Party,3770,13,3783,0.35
Telangana,2,Peddapalle,9,DURGAM RAMULU,Independent,3432,2,3434,0.31
Telangana,2,Peddapalle,10,MULKALLA RAJENDRAPRASAD,Independent,2786,3,2789,0.25
Telangana,2,Peddapalle,11,RAMCHANDAR NICHHAKOLA,Dalita Bahujana Party,2589,40,2629,0.24
Telangana,2,Peddapalle,12,KANDI CHANDU,Rashtriya Manav Party,2409,1,2410,0.22
Telangana,2,Peddapalle,13,RAMULA KARTHIK,Independent,2284,4,2288,0.21
Telangana,2,Peddapalle,14,MOLUGU VENKATESH,New India Party,2234,35,2269,0.21
Telangana,2,Peddapalle,15,ERUGURALA BHAGYALAXMI,Pyramid Party of India,2113,12,2125,0.19
Telangana,2,Peddapalle,16,GADDAM MARUTHI,Independent,2073,8,2081,0.19
Telangana,2,Peddapalle,17,NAVEEN NUKALA,Independent,2057,10,2067,0.19
Telangana,2,Peddapalle,18,MEKALA AKSHAY KUMAR,Independent,1899,3,1902,0.17
Telangana,2,Peddapalle,19,KATKURI SANDEEP,Independent,1867,5,1872,0.17
Telangana,2,Peddapalle,20,BOTLA CHANDRAIAH,Independent,1744,3,1747,0.16
Telangana,2,Peddapalle,21,ERIKILLA RAJESH,Independent,1731,3,1734,0.16
Telangana,2,Peddapalle,22,AKKAPAKA THIRUPATHI,Independent,1662,7,1669,0.15
Telangana,2,Peddapalle,23,DURGAM SANTHOSH,Prajarajya Samithi,1576,38,1614,0.15
Telangana,2,Peddapalle,24,MAMIDIPALLY BAPAIAH,Independent,1501,3,1504,0.14
Telangana,2,Peddapalle,25,DUDA MAHIPAL,Independent,1495,1,1496,0.14
Telangana,2,Peddapalle,26,BOODIDHA THIRUPATHI,Independent,1392,1,1393,0.13
Telangana,2,Peddapalle,27,DAGAM SRINIVAS,Independent,1384,4,1388,0.13
Telangana,2,Peddapalle,28,KADASI SHEKHAR,Independent,1266,6,1272,0.12
Telangana,2,Peddapalle,29,DR VASARLA NATHANIAL,Independent,1195,22,1217,0.11
Telangana,2,Peddapalle,30,AARNAKONDA RAJU,Independent,1160,7,1167,0.11
Telangana,2,Peddapalle,31,NARESH JANAGAMA,Independent,1117,6,1123,0.1
Telangana,2,Peddapalle,32,CHILUKA ANAND,Yuva Taram Party,1089,4,1093,0.1
Telangana,2,Peddapalle,33,TALLAPALLY NARESH,Independent,967,1,968,0.09
Telangana,2,Peddapalle,34,KURMA MAHENDER,Independent,863,2,865,0.08
Telangana,2,Peddapalle,35,CHANDANAGIRI SHRINIVAS,Independent,766,-,766,0.07
Telangana,2,Peddapalle,36,KASHI SATHISH KUMAR,Anti Corruption Dynamic Party,745,6,751,0.07
Telangana,2,Peddapalle,37,KANAKAIAH MULKALA,Socialist Party (India),709,11,720,0.07
Telangana,2,Peddapalle,38,SRINIVAS PANTHUKALA,Independent,701,2,703,0.06
Telangana,2,Peddapalle,39,KONKATI LINGA MURTHI,Independent,659,2,661,0.06
Telangana,2,Peddapalle,40,JUPAKA KIRAN,Independent,649,4,653,0.06
Telangana,2,Peddapalle,41,RAJKUMAR DURGAM,Independent,478,1,479,0.04
Telangana,2,Peddapalle,42,RAJESHAM RACHARLA,Independent,422,1,423,0.04
Telangana,2,Peddapalle,43,NOTA,None of the Above,5591,120,5711,0.52
Telangana,3,Karimnagar,1,BANDI SANJAY KUMAR,Bharatiya Janata Party,578827,6289,585116,44.57
Telangana,3,Karimnagar,2,VELCHALA RAJENDER RAO,Indian National Congress,357446,2461,359907,27.41
Telangana,3,Karimnagar,3,VINOD KUMAR BOIANAPALLI,Bharat Rashtra Samithi,280867,1296,282163,21.49
Telangana,3,Karimnagar,4,ABBADI BUCHI REDDY,Independent,11602,10,11612,0.88
Telangana,3,Karimnagar,5,ARUNA THALLAPALLY,Alliance of Democratic Reforms Party,9043,21,9064,0.69
Telangana,3,Karimnagar,6,KOTA SHYAM KUMAR,Independent,8744,12,8756,0.67
Telangana,3,Karimnagar,7,ANOSE KATKOORI,Independent,8699,7,8706,0.66
Telangana,3,Karimnagar,8,MAREPALLI MOGILAIAH,Bahujan Samaj Party,8010,99,8109,0.62
Telangana,3,Karimnagar,9,RAJENDER POTHURI,Independent,3250,7,3257,0.25
Telangana,3,Karimnagar,10,SRAVAN PEDDAPELLY,Bharathiya YuvaKula Dalam,3068,6,3074,0.23
Telangana,3,Karimnagar,11,GADDA SATHISH,Independent,2936,9,2945,0.22
Telangana,3,Karimnagar,12,ANILREDDY KADTHALA,National Nava Kranthi Party,2747,7,2754,0.21
Telangana,3,Karimnagar,13,CHILUVERU SRIKANTH,Dharma Samaj Party,2553,33,2586,0.2
Telangana,3,Karimnagar,14,AKSHAY KUMAR MEKALA,Independent,2219,5,2224,0.17
Telangana,3,Karimnagar,15,JOURNALIST VIKRAM REDDY VEMULAA,Independent,2090,6,2096,0.16
Telangana,3,Karimnagar,16,ASHOK PANCHIKA,Social Justice Party of India,1914,10,1924,0.15
Telangana,3,Karimnagar,17,GAVVALA LAXMI,Independent,1738,6,1744,0.13
Telangana,3,Karimnagar,18,GATTAIAH YADAV BARIGE,Independent,1688,6,1694,0.13
Telangana,3,Karimnagar,19,RANAPRATAP GATTU,Socialist Party (India),1606,7,1613,0.12
Telangana,3,Karimnagar,20,GUDISHE  MOHAN,Independent,1471,3,1474,0.11
Telangana,3,Karimnagar,21,MANASA PERALA,Independent,1106,19,1125,0.09
Telangana,3,Karimnagar,22,PODISHETTI SAMMAIAH,Bahujan Mukti Party,994,-,994,0.08
Telangana,3,Karimnagar,23,VENKATANARSAIAH DYAGALA @ DEGALA,Independent,926,2,928,0.07
Telangana,3,Karimnagar,24,SHIVARATRI SRINIVAS,Independent,887,2,889,0.07
Telangana,3,Karimnagar,25,CHINTHA ANILKUMAR,Pyramid Party of India,823,7,830,0.06
Telangana,3,Karimnagar,26,CHEEKOTI VARUN KUMAR GUPTA,Telugu Congress Party,783,7,790,0.06
Telangana,3,Karimnagar,27,RAPOLE RAMKUMAR BHARADWAJ,Independent,572,3,575,0.04
Telangana,3,Karimnagar,28,DEVUNOORI SRINIVASU,Independent,465,-,465,0.04
Telangana,3,Karimnagar,29,NOTA,None of the Above,5373,65,5438,0.41
Telangana,4,Nizamabad,1,ARVIND DHARMAPURI,Bharatiya Janata Party,588244,4074,592318,48.02
Telangana,4,Nizamabad,2,JEEVANREDDY THATIPARTHI,Indian National Congress,480501,2576,483077,39.16
Telangana,4,Nizamabad,3,GOVERDHAN BAJIREDDY,Bharat Rashtra Samithi,101929,477,102406,8.3
Telangana,4,Nizamabad,4,GANTA CHARITHA RAO,Independent,5707,3,5710,0.46
Telangana,4,Nizamabad,5,YOUGENDAR GATLA,Alliance of Democratic Reforms Party,5439,14,5453,0.44
Telangana,4,Nizamabad,6,KOTAGIRI SRINIVAS,Independent,5308,4,5312,0.43
Telangana,4,Nizamabad,7,PUPPALA LIMBADRI,Bahujan Samaj Party,4220,43,4263,0.35
Telangana,4,Nizamabad,8,TUTUKURU JEEVAN REDDY,Independent,4085,6,4091,0.33
Telangana,4,Nizamabad,9,KANDELA SUMAN,Dharma Samaj Party,3842,44,3886,0.32
Telangana,4,Nizamabad,10,GOLI. NARESH,Dalita Bahujana Party,3017,7,3024,0.25
Telangana,4,Nizamabad,11,ARE RAJENDHAR,Independent,2906,1,2907,0.24
Telangana,4,Nizamabad,12,KOTHAKONDA SHAKTI PRASAD,Independent,2103,3,2106,0.17
Telangana,4,Nizamabad,13,VEMULAA VIKRAM REDDY,Independent,2073,1,2074,0.17
Telangana,4,Nizamabad,14,GOPI CHENDRIAH,Independent,1721,2,1723,0.14
Telangana,4,Nizamabad,15,ALI MANSOOR,Anna YSR Congress Party,1454,14,1468,0.12
Telangana,4,Nizamabad,16,GUYYA SAIKRISHNA MURTHY,Yuga Thulasi Party,1123,6,1129,0.09
Telangana,4,Nizamabad,17,SYED ASGAR,Independent,1046,2,1048,0.08
Telangana,4,Nizamabad,18,MALAVAT VITHAL,Independent,919,-,919,0.07
Telangana,4,Nizamabad,19,MOGILI RAJKUMAR,India Praja Bandhu Party,825,5,830,0.07
Telangana,4,Nizamabad,20,RAPELLY SRINIVAS,Independent,791,2,793,0.06
Telangana,4,Nizamabad,21,DESHABOINA LAXMINARAYANA,Independent,723,-,723,0.06
Telangana,4,Nizamabad,22,ABBAGONI ASHOK GOUD,Bahujana Left Party,641,8,649,0.05
Telangana,4,Nizamabad,23,DEVATHI SRINIVAS,Bahujan Mukti Party,624,12,636,0.05
Telangana,4,Nizamabad,24,B B NAIK,Independent,581,-,581,0.05
Telangana,4,Nizamabad,25,BHUKYA. NANDU,Vidhyarthula Rajakiya Party,574,6,580,0.05
Telangana,4,Nizamabad,26,RAPALLY SATYANARAYANA,Independent,425,1,426,0.03
Telangana,4,Nizamabad,27,RAGI ANIL,Independent,367,8,375,0.03
Telangana,4,Nizamabad,28,PALAMURI SAI NIKHIL,Independent,303,4,307,0.02
Telangana,4,Nizamabad,29,PRASHANTH KATRAJI,Independent,284,-,284,0.02
Telangana,4,Nizamabad,30,NOTA,None of the Above,4440,43,4483,0.36
Telangana,5,Zahirabad,1,SURESH KUMAR SHETKAR,Indian National Congress,523919,4499,528418,42.73
Telangana,5,Zahirabad,2,B. B. PATIL,Bharatiya Janata Party,476023,6207,482230,39
Telangana,5,Zahirabad,3,ANILKUMAR GALI,Bharat Rashtra Samithi,171412,666,172078,13.92
Telangana,5,Zahirabad,4,KOTHA BALIJA BASWARAJ,Telangana Praja Shakthi Party,8362,11,8373,0.68
Telangana,5,Zahirabad,5,CHAVAGANI MANI,Alliance of Democratic Reforms Party,6295,14,6309,0.51
Telangana,5,Zahirabad,6,YAKUB SHARIF MD,Independent,5484,5,5489,0.44
Telangana,5,Zahirabad,7,MAHADHEV SWAMI MATAM,Independent,5408,4,5412,0.44
Telangana,5,Zahirabad,8,B. MARUTHI RAO,Independent,4248,4,4252,0.34
Telangana,5,Zahirabad,9,S. RAJU,Independent,3511,3,3514,0.28
Telangana,5,Zahirabad,10,SATYANARAYANA GOUD KOVURI,Independent,2875,1,2876,0.23
Telangana,5,Zahirabad,11,RAMESH. SAJJAPUR.,Independent,2477,2,2479,0.2
Telangana,5,Zahirabad,12,KAMMARI ANANDEESHWAR,Independent,2381,3,2384,0.19
Telangana,5,Zahirabad,13,JAIPAL NAYAK JADAVATH,Independent,2217,51,2268,0.18
Telangana,5,Zahirabad,14,GURRAPU MACHANDER,All India Forward Bloc,1760,9,1769,0.14
Telangana,5,Zahirabad,15,T.D.S. MANI,Dharma Samaj Party,1628,27,1655,0.13
Telangana,5,Zahirabad,16,MOHD SADDAM,Independent,1567,1,1568,0.13
Telangana,5,Zahirabad,17,MALEPU MOHAN REDDY,Pyramid Party of India,1095,7,1102,0.09
Telangana,5,Zahirabad,18,ASHOK TALARI,Independent,831,6,837,0.07
Telangana,5,Zahirabad,19,ROMALA BABU DURGAIAH,India Praja Bandhu Party,601,2,603,0.05
Telangana,5,Zahirabad,20,NOTA,None of the Above,2933,44,2977,0.24
Telangana,6,Medak,1,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,463777,7440,471217,33.99
Telangana,6,Medak,2,NEELAM MADHU,Indian National Congress,427899,4179,432078,31.17
Telangana,6,Medak,3,P. VENKATRAMA REDDY,Bharat Rashtra Samithi,395250,1540,396790,28.62
Telangana,6,Medak,4,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,17191,25,17216,1.24
Telangana,6,Medak,5,SARA YADAGIRI GOUD,Praja Velugu Party,11056,4,11060,0.8
Telangana,6,Medak,6,BODAPATLA ESHWAR,Bahujan Samaj Party,7423,40,7463,0.54
Telangana,6,Medak,7,DUBALA SRI SAILAM,Independent,5161,5,5166,0.37
Telangana,6,Medak,8,ADLA KUMAR,Independent,5113,3,5116,0.37
Telangana,6,Medak,9,BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (COMMUNIST),2366,-,2366,0.17
Telangana,6,Medak,10,ANIL GOUD,Bharat Jodo Party,2128,4,2132,0.15
Telangana,6,Medak,11,ABHILASH CHELIMELA,Independent,2031,-,2031,0.15
Telangana,6,Medak,12,ATI ANJANEYULU,Independent,2029,9,2038,0.15
Telangana,6,Medak,13,MAISANGARI SUNIL,India Praja Bandhu Party,2009,2,2011,0.15
Telangana,6,Medak,14,PRADEEP,Independent,2006,4,2010,0.14
Telangana,6,Medak,15,INDRAGOUD SILIVERI,National Nava Kranthi Party,1773,1,1774,0.13
Telangana,6,Medak,16,NAGAMANI ACHA,Independent,1538,2,1540,0.11
Telangana,6,Medak,17,A. KRANTHI KUMAR,Independent,1465,2,1467,0.11
Telangana,6,Medak,18,MAREPALLY LAXMINARAYANA,Independent,1411,3,1414,0.1
Telangana,6,Medak,19,BALESH UPPARI,Independent,1390,3,1393,0.1
Telangana,6,Medak,20,VENKATESH BEJUGAM,Independent,1263,1,1264,0.09
Telangana,6,Medak,21,BOMMALA VIJAY KUMAR,Independent,1194,2,1196,0.09
Telangana,6,Medak,22,ANNELA LAXMAN,Dharma Samaj Party,1143,9,1152,0.08
Telangana,6,Medak,23,ABHILASH SHIRNA,Independent,923,1,924,0.07
Telangana,6,Medak,24,DODLA VENKAT,Telangana Praja Shakthi Party,915,2,917,0.07
Telangana,6,Medak,25,ABISHEK GOUD THABETI,Jana Shankhaaraavam Party,792,5,797,0.06
Telangana,6,Medak,26,MEDI SRINIVAS REDDI,Independent,791,2,793,0.06
Telangana,6,Medak,27,VUTLA RAMESH,Independent,778,-,778,0.06
Telangana,6,Medak,28,D. NARAHARI,Independent,674,1,675,0.05
Telangana,6,Medak,29,GOLLAPALLY SAYA GOUD,Pyramid Party of India,656,2,658,0.05
Telangana,6,Medak,30,SATYANARAYANA GOUD KOVURI,Independent,607,-,607,0.04
Telangana,6,Medak,31,DASARI BHANUCHANDER,Independent,573,2,575,0.04
Telangana,6,Medak,32,DADIGE RAJENDAR,Independent,556,3,559,0.04
Telangana,6,Medak,33,C.H. NAVEEN KUMAR,Independent,529,2,531,0.04
Telangana,6,Medak,34,KONDI ASHOK,Independent,509,-,509,0.04
Telangana,6,Medak,35,URELLI YELLAIAH,Viduthalai Chiruthaigal Katchi,492,2,494,0.04
Telangana,6,Medak,36,GONDHI BHUJANGAMU,Independent,430,1,431,0.03
Telangana,6,Medak,37,MOHD AZHER,Independent,414,2,416,0.03
Telangana,6,Medak,38,S RAJESH SAGAR,Independent,348,-,348,0.03
Telangana,6,Medak,39,KASOJU SRIKANTH,Independent,344,-,344,0.02
Telangana,6,Medak,40,K. LAXMINARAYANA,Independent,317,-,317,0.02
Telangana,6,Medak,41,KOLKUR PRATAP,Independent,292,1,293,0.02
Telangana,6,Medak,42,GADILA ANJANEYULU,Independent,289,1,290,0.02
Telangana,6,Medak,43,GOUTI MALLESH,Independent,247,1,248,0.02
Telangana,6,Medak,44,K.RAGHU,Independent,222,2,224,0.02
Telangana,6,Medak,45,NOTA,None of the Above,4582,35,4617,0.33
Telangana,7,Malkajgiri,1,EATALA RAJENDER,Bharatiya Janata Party,980712,10330,991042,51.25
Telangana,7,Malkajgiri,2,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,593337,6230,599567,31
Telangana,7,Malkajgiri,3,RAGIDI LAXMA REDDY,Bharat Rashtra Samithi,298697,1789,300486,15.54
Telangana,7,Malkajgiri,4,THALLADA VENKATESWARLU,Independent,6784,16,6800,0.35
Telangana,7,Malkajgiri,5,ANITHA REDDY SHEELAM,Bahujan Samaj Party,4718,61,4779,0.25
Telangana,7,Malkajgiri,6,VAISHNAVI PRASAD,Independent,1894,18,1912,0.1
Telangana,7,Malkajgiri,7,PAREE (PESARIKAYALA PAREEKSHITH REDDY),Independent,1831,4,1835,0.09
Telangana,7,Malkajgiri,8,DONTHULA BIKSHAPATHI,Independent,1813,8,1821,0.09
Telangana,7,Malkajgiri,9,BHARATHA SUDARSHAN,Independent,1639,4,1643,0.08
Telangana,7,Malkajgiri,10,APPARAO KONDA,Rashtra Samanya Praja Party,1157,5,1162,0.06
Telangana,7,Malkajgiri,11,MOUTAM SAMPATH,Independent,1135,2,1137,0.06
Telangana,7,Malkajgiri,12,RAJESH MISHRA,Independent,1110,-,1110,0.06
Telangana,7,Malkajgiri,13,BANJAPALLY SUDHA RANI,Independent,1064,5,1069,0.06
Telangana,7,Malkajgiri,14,CHIRIPI REDDY RAMESH,Independent,986,1,987,0.05
Telangana,7,Malkajgiri,15,PEDDAPALLI SANDEEP,Bharathiya YuvaKula Dalam,930,3,933,0.05
Telangana,7,Malkajgiri,16,BOIN DURGA PRASAD YADAV,Dharma Samaj Party,778,11,789,0.04
Telangana,7,Malkajgiri,17,CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,Social Justice Party of India,722,1,723,0.04
Telangana,7,Malkajgiri,18,NARRA SUKHENDER REDDY,Vidhyarthula Rajakiya Party,690,4,694,0.04
Telangana,7,Malkajgiri,19,KANTE SAYANNA,Independent,539,-,539,0.03
Telangana,7,Malkajgiri,20,JUVVA PHANI KUMAR CHOWDARY,Jai Bharat National Party,505,3,508,0.03
Telangana,7,Malkajgiri,21,YADISHWAR NAKKA,Telangana Republican Party,492,2,494,0.03
Telangana,7,Malkajgiri,22,R. SUBENDER SINGH,Independent,446,1,447,0.02
Telangana,7,Malkajgiri,23,NOTA,None of the Above,13206,160,13366,0.69
Telangana,8,Secunderabad,1,G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,45.15
Telangana,8,Secunderabad,2,DANAM NAGENDER,Indian National Congress,420220,2848,423068,40.38
Telangana,8,Secunderabad,3,PADMA RAO . T,Bharat Rashtra Samithi,128680,906,129586,12.37
Telangana,8,Secunderabad,4,DR.  BASWANANDAM DANDEPU,Bahujan Samaj Party,2248,20,2268,0.22
Telangana,8,Secunderabad,5,SARARAPU SRISAILAM,Telangana Rajya Samithi,1726,1,1727,0.16
Telangana,8,Secunderabad,6,SAPAVAT SUMAN,Independent,996,-,996,0.1
Telangana,8,Secunderabad,7,R.S.J. THOMAS,Jai Swaraj Party,971,3,974,0.09
Telangana,8,Secunderabad,8,RAASALA VINOD KUMAR,Dharma Samaj Party,820,6,826,0.08
Telangana,8,Secunderabad,9,KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,678,1,679,0.06
Telangana,8,Secunderabad,10,MACHCHERLA VENKATA REDDY,Independent,672,1,673,0.06
Telangana,8,Secunderabad,11,MOHAMMED AKRAM ALI KHAN,Independent,596,1,597,0.06
Telangana,8,Secunderabad,12,MOHAMMED RAFIUDDIN KALEEM,All India Majlis-E-Inquilab-E-Millat,478,6,484,0.05
Telangana,8,Secunderabad,13,LUNAVATH HARI RAM,Independent,474,-,474,0.05
Telangana,8,Secunderabad,14,BOGGULA SUNIITHHA,Independent,417,1,418,0.04
Telangana,8,Secunderabad,15,MOHAMMED AYUB ALI,Anna YSR Congress Party,406,4,410,0.04
Telangana,8,Secunderabad,16,MOHAMMED FASI UDDIN,Independent,341,1,342,0.03
Telangana,8,Secunderabad,17,PULIMAMIDI VENKATESH GUPTA,Independent,340,-,340,0.03
Telangana,8,Secunderabad,18,IBRAHIM KHAN,Independent,315,5,320,0.03
Telangana,8,Secunderabad,19,ANDRAPU SUDARSHAN,Independent,312,3,315,0.03
Telangana,8,Secunderabad,20,JUNAID ANAM SIDDIQUI,Independent,294,1,295,0.03
Telangana,8,Secunderabad,21,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,283,2,285,0.03
Telangana,8,Secunderabad,22,DR. R. GANGADHAR,Socialist Unity Centre Of India (COMMUNIST),280,1,281,0.03
Telangana,8,Secunderabad,23,UTTAM PRAVEEN KUMAR,Independent,273,1,274,0.03
Telangana,8,Secunderabad,24,GOWLIKAR SONY,Social Justice Party of India,269,3,272,0.03
Telangana,8,Secunderabad,25,BATHULA RAVI,Independent,252,-,252,0.02
Telangana,8,Secunderabad,26,P C LINGANNA,Independent,243,-,243,0.02
Telangana,8,Secunderabad,27,MOHAMMED IBRAHIM AHMED,Independent,240,2,242,0.02
Telangana,8,Secunderabad,28,SANGALA FLORY,Independent,223,-,223,0.02
Telangana,8,Secunderabad,29,MOHAMMED ABDUL AZEEM,Independent,220,1,221,0.02
Telangana,8,Secunderabad,30,GANESH BHARGAVI GUNDE,Jai Bharat National Party,220,3,223,0.02
Telangana,8,Secunderabad,31,V. K. VIJAYA LAKSHMI,Independent,213,3,216,0.02
Telangana,8,Secunderabad,32,CHEEKATI BHUPAL GOUD,All India Backward People Sunami Party,209,1,210,0.02
Telangana,8,Secunderabad,33,BOMMAKANTI SOWMYA,Pyramid Party of India,201,4,205,0.02
Telangana,8,Secunderabad,34,KRUPAVARAM GANDU,Independent,159,2,161,0.02
Telangana,8,Secunderabad,35,PAMPARI NARENDER,Independent,143,-,143,0.01
Telangana,8,Secunderabad,36,SYED KHADER,Independent,132,1,133,0.01
Telangana,8,Secunderabad,37,B . SUNITHA RANI,Socialist Party (India),130,3,133,0.01
Telangana,8,Secunderabad,38,CHALIKA CHANDRA SEKHAR,Independent,129,-,129,0.01
Telangana,8,Secunderabad,39,PAGIDIPALLI SHYAMSON,Viduthalai Chiruthaigal Katchi,126,4,130,0.01
Telangana,8,Secunderabad,40,REDDYMALLA PARVATHI,Independent,126,1,127,0.01
